Overall rankings for government AI readiness 2018/19,,,,Asia-Pacific,,,,Africa,,,,Latin America and Caribbean,,,,North America,,,,Eastern Europe,,,,Australia/NZ,,,,Western Europe,,
Rank (of 194),Country,Score,,Rank (of 194 globally; 54 regionally),Country,Score,,Rank (of 194 globally; 54 regionally),Country,Score,,Rank (of 194 globally; 33 regionally),Country,Score,,Rank (of 194 globally; 2 regionally),Country,Score,,Rank (of 194 globally; 23 regionally),Country,Score,,Rank (of 194 globally; 2 regionally),Country,Score,,Rank (of 194 globally; 25 regionally),Country,Score
1,Singapore,9.186,,1,Singapore,9.186,,52,Kenya,5.672,,32,Mexico,6.664,,4,United States of America ,8.804,,23,Estonia,6.968,,11,Australia,8.126,,2,United Kingdom,9.069
2,United Kingdom,9.069,,10,Japan,8.582,,54,Tunisia,5.652,,35,Uruguay,6.522,,6,Canada,8.674,,27,Poland,6.835,,13,New Zealand,7.876,,3,Germany,8.81
3,Germany,8.81,,17,India,7.515,,60,Mauritius,5.318,,39,Chile,6.19,,,,,,29,Russia,6.748,,,,,,5,Finland,8.772
4,United States of America ,8.804,,19,United Arab Emirates,7.445,,68,South Africa,5.152,,40,Brazil,6.157,,,Average,8.739,,31,Czech Republic,6.673,,,Average,8.001,,6,Sweden,8.674
5,Finland,8.772,,20,China,7.37,,75,Ghana,4.888,,44,Colombia,5.945,,,,,,33,Latvia,6.548,,,,,,8,France,8.608
6,Sweden,8.674,,21,Israel,7.348,,80,Morocco,4.717,,51,Argentina,5.684,,,,,,37,Lithuania,6.288,,,,,,9,Denmark,8.601
6,Canada,8.674,,22,Malaysia,7.108,,90,Seychelles,4.397,,66,Costa Rica,5.202,,,,,,38,Slovenia,6.232,,,,,,12,Norway,8.079
8,France,8.608,,26,South Korea,6.839,,91,Uganda,4.37,,69,Panama,5.136,,,,,,45,Slovakia,5.923,,,,,,14,Netherlands ,7.659
9,Denmark,8.601,,41,Taiwan,6.152,,92,Zambia,4.319,,71,Peru,5.076,,,,,,47,Bulgaria,5.806,,,,,,15,Italy,7.533
10,Japan,8.582,,42,Qatar,6.035,,93,Senegal,4.235,,73,Trinidad and Tobago,5.038,,,,,,48,Hungary,5.794,,,,,,16,Austria,7.527
11,Australia,8.126,,46,Turkey,5.879,,93,Tanzania,4.235,,77,Dominican Republic ,4.804,,,,,,55,Romania,5.54,,,,,,18,Switzerland,7.461
12,Norway,8.079,,50,Philippines ,5.704,,99,Rwanda,3.973,,82,Ecuador,4.646,,,,,,58,Serbia,5.364,,,,,,24,Belgium,6.859
13,New Zealand,7.876,,56,Thailand,5.458,,101,Cape Verde,3.943,,85,El Salvador,4.566,,,,,,61,Republic of North Macedonia,5.284,,,,,,25,Luxembourg,6.857
14,Netherlands ,7.659,,57,Indonesia,5.42,,104,Côte d'Ivoire,3.807,,87,Jamaica,4.476,,,,,,62,Croatia,5.273,,,,,,28,Iceland,6.809
15,Italy,7.533,,59,Oman,5.321,,106,Benin,3.73,,89,Bolivia ,4.399,,,,,,63,Ukraine,5.266,,,,,,30,Portugal,6.693
16,Austria,7.527,,65,Kazakhstan,5.236,,107,Nigeria,3.612,,96,Honduras,4.135,,,,,,64,Azerbaijan,5.244,,,,,,34,Ireland,6.542
17,India,7.515,,70,Vietnam,5.081,,108,Gambia,3.602,,102,Paraguay,3.873,,,,,,67,Montenegro,5.195,,,,,,36,Spain,6.332
18,Switzerland,7.461,,72,Iran ,5.049,,109,Mali,3.573,,115,Guatemala,3.385,,,,,,76,Georgia,4.863,,,,,,43,Malta,5.961
19,United Arab Emirates,7.445,,74,Jordan,4.927,,110,Zimbabwe,3.511,,117,Nicaragua,3.28,,,,,,81,Armenia,4.716,,,,,,49,Greece,5.76
20,China,7.37,,78,Saudi Arabia,4.779,,111,Egypt,3.492,,133,Bahamas ,2.527,,,,,,83,Albania,4.614,,,,,,53,Cyprus,5.668
21,Israel,7.348,,79,Kuwait,4.725,,113,Namibia,3.422,,134,Venezuela ,2.476,,,,,,86,Moldova,4.534,,,,,,130,Liechtenstein,2.619
22,Malaysia,7.108,,84,Pakistan,4.57,,114,Malawi,3.403,,135,Barbados,2.43,,,,,,95,Bosnia and Herzegovina,4.183,,,,,,135,Monaco,2.43
23,Estonia,6.968,,88,Nepal,4.4,,118,Lesotho,3.266,,142,Saint Kitts and Nevis,2.23,,,,,,122,Belarus,3.095,,,,,,139,Andorra,2.29
24,Belgium,6.859,,97,Kyrgyzstan,4.125,,119,Cameroon,3.232,,143,Dominica,2.191,,,,,,,Average,5.521,,,,,,146,San Marino,2.071
25,Luxembourg,6.857,,98,Tajikistan,3.991,,120,Botswana,3.21,,144,Antigua and Barbuda,2.099,,,,,,,,,,,,,,,,
26,South Korea,6.839,,100,Bahrain,3.962,,124,Burkina Faso,2.859,,145,Guyana,2.094,,,,,,,,,,,,,,,Average,6.57
27,Poland,6.835,,103,Bangladesh,3.808,,126,Ethiopia,2.777,,149,Saint Vincent and the Grenadines,2.052,,,,,,,,,,,,,,,,
28,Iceland,6.809,,105,Sri Lanka,3.795,,127,Mozambique,2.753,,150,Haiti,2.034,,,,,,,,,,,,,,,,
29,Russia,6.748,,112,Lebanon,3.487,,128,Chad,2.712,,153,Saint Lucia,1.901,,,,,,,,,,,,,,,,
30,Portugal,6.693,,116,Bhutan,3.305,,129,Angola,2.666,,155,Suriname,1.769,,,,,,,,,,,,,,,,
31,Czech Republic,6.673,,121,Brunei Darussalam,3.143,,131,Madagascar,2.57,,164,Grenada,1.086,,,,,,,,,,,,,,,,
32,Mexico,6.664,,123,Mongolia,3.008,,132,Gabon,2.549,,171,Belize,0.745,,,,,,,,,,,,,,,,
33,Latvia,6.548,,125,Cambodia,2.81,,138,Liberia,2.304,,172,Cuba,0.709,,,,,,,,,,,,,,,,
34,Ireland,6.542,,137,Laos,2.314,,140,Guinea,2.251,,,,,,,,,,,,,,,,,,,,
35,Uruguay,6.522,,152,Yemen,1.955,,141,Algeria,2.246,,,Average,3.682,,,,,,,,,,,,,,,,
36,Spain,6.332,,156,Iraq,1.657,,147,Niger,2.055,,,,,,,,,,,,,,,,,,,,
37,Lithuania,6.288,,158,Uzbekistan,1.412,,148,Burundi,2.054,,,,,,,,,,,,,,,,,,,,
38,Slovenia,6.232,,159,Myanmar,1.385,,151,Mauritania,2.024,,,,,,,,,,,,,,,,,,,,
39,Chile,6.19,,165,Maldives,1.055,,154,Eswatini,1.889,,,,,,,,,,,,,,,,,,,,
40,Brazil,6.157,,166,Tonga,0.996,,157,Sao Tome and Principe,1.481,,,,,,,,,,,,,,,,,,,,
41,Taiwan,6.152,,167,Fiji,0.993,,160,Sierra Leone,1.344,,,,,,,,,,,,,,,,,,,,
42,Qatar,6.035,,168,Vanuatu,0.837,,161,Equatorial Guinea,1.278,,,,,,,,,,,,,,,,,,,,
43,Malta,5.961,,169,Palau,0.829,,162,Togo,1.139,,,,,,,,,,,,,,,,,,,,
44,Colombia,5.945,,170,Samoa,0.764,,163,Congo ,1.093,,,,,,,,,,,,,,,,,,,,
45,Slovakia,5.923,,173,Timor-Leste,0.694,,180,Djibouti,0.532,,,,,,,,,,,,,,,,,,,,
46,Turkey,5.879,,174,Afghanistan,0.684,,183,Libya,0.481,,,,,,,,,,,,,,,,,,,,
47,Bulgaria,5.806,,175,Syria,0.645,,184,Democratic Republic of the Congo ,0.47,,,,,,,,,,,,,,,,,,,,
48,Hungary,5.794,,177,Tuvalu,0.6,,187,Sudan,0.392,,,,,,,,,,,,,,,,,,,,
49,Greece,5.76,,178,Marshall Islands,0.584,,188,Central African Republic,0.367,,,,,,,,,,,,,,,,,,,,
50,Philippines ,5.704,,179,Papua New Guinea,0.55,,189,Comoros ,0.331,,,,,,,,,,,,,,,,,,,,
51,Argentina,5.684,,181,Solomon Islands,0.525,,190,Guinea-Bissau,0.265,,,,,,,,,,,,,,,,,,,,
52,Kenya,5.672,,182,Turkmenistan,0.497,,191,South Sudan,0.233,,,,,,,,,,,,,,,,,,,,
53,Cyprus,5.668,,185,Nauru,0.464,,192,Eritrea,0.217,,,,,,,,,,,,,,,,,,,,
54,Tunisia,5.652,,186,Micronesia ,0.461,,194,Somalia,0.168,,,,,,,,,,,,,,,,,,,,
55,Romania,5.54,,193,North Korea,0.216,,,Average,2.708,,,,,,,,,,,,,,,,,,,,
56,Thailand,5.458,,,Average,3.558,,,,,,,,,,,,,,,,,,,,,,,,
57,Indonesia,5.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Serbia,5.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Oman,5.321,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Mauritius,5.318,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Republic of North Macedonia,5.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Croatia,5.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Ukraine,5.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Azerbaijan,5.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Kazakhstan,5.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Costa Rica,5.202,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Montenegro,5.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,South Africa,5.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Panama,5.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Vietnam,5.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Peru,5.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Iran ,5.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Trinidad and Tobago,5.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Jordan,4.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Ghana,4.888,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Georgia,4.863,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Dominican Republic ,4.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Saudi Arabia,4.779,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Kuwait,4.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Morocco,4.717,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Armenia,4.716,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Ecuador,4.646,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Albania,4.614,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Pakistan,4.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,El Salvador,4.566,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Moldova,4.534,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Jamaica,4.476,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Nepal,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Bolivia ,4.399,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Seychelles,4.397,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Uganda,4.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Zambia,4.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Senegal,4.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Tanzania,4.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Bosnia and Herzegovina,4.183,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Honduras,4.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Kyrgyzstan,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Tajikistan,3.991,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Rwanda,3.973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Bahrain,3.962,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Cape Verde,3.943,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Paraguay,3.873,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Bangladesh,3.808,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Côte d'Ivoire,3.807,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Sri Lanka,3.795,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Benin,3.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Nigeria,3.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Gambia,3.602,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Mali,3.573,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Zimbabwe,3.511,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Egypt,3.492,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Lebanon,3.487,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Namibia,3.422,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Malawi,3.403,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Guatemala,3.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Bhutan,3.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Nicaragua,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Lesotho,3.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Cameroon,3.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Botswana,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Brunei Darussalam,3.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Belarus,3.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Mongolia,3.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Burkina Faso,2.859,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Cambodia,2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Ethiopia,2.777,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Mozambique,2.753,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Chad,2.712,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Angola,2.666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Liechtenstein,2.619,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Madagascar,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Gabon,2.549,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Bahamas ,2.527,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Venezuela ,2.476,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Monaco,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Barbados,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Laos,2.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Liberia,2.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Andorra,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Guinea,2.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Algeria,2.246,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Saint Kitts and Nevis,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Dominica,2.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Antigua and Barbuda,2.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Guyana,2.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,San Marino,2.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Niger,2.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Burundi,2.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Saint Vincent and the Grenadines,2.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Haiti,2.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Mauritania,2.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Yemen,1.955,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Saint Lucia,1.901,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Eswatini,1.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Suriname,1.769,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Iraq,1.657,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Sao Tome and Principe,1.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Uzbekistan,1.412,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Myanmar,1.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Sierra Leone,1.344,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Equatorial Guinea,1.278,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Togo,1.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Congo ,1.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Grenada,1.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Maldives,1.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Tonga,0.996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Fiji,0.993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Vanuatu,0.837,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Palau,0.829,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Samoa,0.764,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Belize,0.745,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Cuba,0.709,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Timor-Leste,0.694,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Afghanistan,0.684,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Syria,0.645,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Kiribati,0.644,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Tuvalu,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Marshall Islands,0.584,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Papua New Guinea,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Djibouti,0.532,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Solomon Islands,0.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Turkmenistan,0.497,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Libya,0.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Democratic Republic of the Congo ,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Nauru,0.464,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Micronesia ,0.461,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Sudan,0.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Central African Republic,0.367,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Comoros ,0.331,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Guinea-Bissau,0.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,South Sudan,0.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Eritrea,0.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,North Korea,0.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Somalia,0.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AVERAGE,4.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,
